,employee_number,age,attrition,business_travel,daily_rate,department,distance_from_home,education,education_field,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income, monthly_rate,num_companies_worked,overtime,percent_salary_hike,performance_rating,relationship_satisfaction,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_since_last_promotion,years_with_curr_manager,same_as_monthly_income,date_birth,remote_work
774,708,40,No,desconocido,1194,desconocido,1.0,bachillerato,desconocido,3,female,52,3,2,healthcare_representative,4,desconocido,6513,9060,4,desconocido,17,3,4,1,12,3,3,5,0,3,"6513,0",1983,yes
775,709,26,No,travel_rarely,572,sales,10.0,bachillerato,desconocido,3,male,46,3,2,sales_executive,4,desconocido,5863,9125,1,No,13,3,1,0,13,4,3,5,1,2,,1997,no
776,710,42,No,desconocido,355,desconocido,10.0,universidad,technical_degree,3,male,38,3,1,research_scientist,3,married,5835,6161,3,No,22,4,2,2,10,1,2,6,3,3,,1981,no
777,711,34,No,travel_rarely,1480,desconocido,4.0,bachillerato,desconocido,3,male,64,3,3,sales_executive,4,married,7032,24444,2,Yes,13,3,4,3,9,3,3,5,1,0,,1989,yes
778,712,37,No,travel_rarely,783,desconocido,7.0,universidad,medical,4,male,78,3,2,research_scientist,1,desconocido,4284,13588,5,desconocido,22,4,3,1,16,2,3,5,0,4,"4284,0",1986,yes
779,713,27,No,desconocido,1354,desconocido,2.0,universidad,technical_degree,2,male,41,3,1,research_scientist,2,desconocido,2226,6073,1,No,11,3,3,1,6,3,2,5,1,2,"2226,0",1996,no
780,714,35,No,travel_rarely,682,desconocido,18.0,universidad,desconocido,2,male,71,3,2,sales_executive,1,desconocido,5561,15975,0,desconocido,16,3,4,1,18,2,1,5,0,4,"5561,0",1988,yes
783,715,54,No,desconocido,155,research_development,9.0,fp,desconocido,1,female,67,3,2,research_scientist,3,married,2897,22474,3,No,11,3,3,2,9,6,2,4,2,3,"2897,0",1969,no
784,716,24,No,travel_rarely,771,desconocido,13.2,fp,life_sciences,4,male,45,2,2,healthcare_representative,3,single,4837,14120,1,No,12,3,2,0,4,2,2,4,1,2,,1999,yes
785,717,38,No,travel_frequently,508,desconocido,6.0,universidad,desconocido,1,male,72,2,2,manufacturing_director,3,married,5321,14284,2,No,11,3,4,1,10,1,3,8,7,7,"5321,0",1985,no
786,718,42,No,desconocido,557,desconocido,18.0,universidad,desconocido,4,male,35,3,2,research_scientist,1,desconocido,5410,11189,6,desconocido,17,3,3,1,9,3,2,4,1,2,"5410,0",1981,yes
787,719,41,No,desconocido,642,desconocido,1.0,bachillerato,life_sciences,4,male,76,3,1,research_scientist,4,desconocido,2782,21412,3,No,22,3,1,1,13,3,3,5,1,0,"2782,0",1982,yes
788,720,25,No,travel_rarely,1382,desconocido,8.0,fp,desconocido,1,female,85,3,2,sales_executive,3,desconocido,3429,13684,0,Yes,22,4,2,1,6,3,2,5,0,4,,1998,yes
789,721,44,No,desconocido,1037,desconocido,1.0,bachillerato,medical,2,male,42,3,1,research_scientist,4,single,5771,13422,6,Yes,12,3,3,0,6,2,3,4,1,2,,1979,yes
790,722,50,Yes,desconocido,878,desconocido,1.0,universidad,desconocido,2,male,94,3,2,sales_executive,3,desconocido,5574,14255,7,No,12,3,4,2,12,3,2,6,0,1,,1973,yes
791,723,36,No,desconocido,1120,sales,11.0,universidad,marketing,2,female,100,2,2,sales_executive,4,married,9793,14369,4,No,13,3,1,1,8,2,2,6,0,0,,1987,no
792,724,45,No,desconocido,374,desconocido,20.0,bachillerato,desconocido,4,female,50,3,2,sales_executive,3,desconocido,4850,23333,8,No,15,3,3,0,18,3,3,5,0,1,"4850,0",1978,yes
793,725,40,No,desconocido,1194,desconocido,2.0,universidad,desconocido,3,female,98,3,1,research_scientist,3,married,2001,12549,2,desconocido,14,3,2,3,20,2,3,5,0,2,"2001,0",1983,yes
794,726,35,No,travel_rarely,287,desconocido,1.0,universidad,desconocido,3,female,62,1,1,research_scientist,4,married,3196,8952,1,No,12,3,4,1,4,5,3,4,1,1,,1988,yes
795,727,29,No,travel_rarely,884,desconocido,13.0,fp,other,4,male,46,2,2,laboratory_technician,2,desconocido,5248,23679,4,desconocido,13,3,1,1,10,2,3,4,0,3,,1994,no
796,728,34,No,desconocido,1167,desconocido,8.0,bachillerato,desconocido,2,male,82,4,2,laboratory_technician,3,desconocido,4404,10228,2,No,12,3,1,0,10,3,4,4,1,2,"4404,0",1989,yes
797,729,27,No,travel_rarely,591,desconocido,2.0,eso,desconocido,1,male,40,3,1,laboratory_technician,2,married,5771,16632,9,No,12,3,4,1,6,3,3,2,2,2,,1996,no
798,730,31,No,desconocido,670,research_development,26.0,eso,desconocido,1,male,63,3,1,research_scientist,3,divorced,3305,15170,1,desconocido,17,3,4,1,5,1,2,5,4,3,,1992,yes
799,731,34,No,travel_rarely,1346,desconocido,15.2,fp,desconocido,2,male,93,3,1,laboratory_technician,4,divorced,9618,8758,0,desconocido,11,3,3,1,3,2,3,2,1,2,,1989,yes
800,732,28,Yes,travel_rarely,103,research_development,24.0,bachillerato,life_sciences,3,male,50,2,1,laboratory_technician,3,single,4191,12947,5,Yes,14,3,2,0,6,4,3,4,0,3,,1995,yes
801,733,32,No,travel_rarely,334,desconocido,5.0,fp,desconocido,1,male,80,4,1,research_scientist,2,divorced,6358,15053,0,Yes,12,3,4,2,7,5,2,6,0,5,,1991,yes
802,734,38,No,desconocido,371,research_development,2.0,bachillerato,life_sciences,4,male,45,3,1,research_scientist,4,single,3944,4306,5,Yes,11,3,3,0,6,3,3,3,1,2,"3944,0",1985,yes
803,735,24,No,desconocido,673,desconocido,11.0,fp,desconocido,1,female,96,4,2,manufacturing_director,3,desconocido,9793,8232,0,No,18,3,4,1,5,5,2,4,1,3,,1999,yes
804,736,34,Yes,desconocido,699,desconocido,6.0,eso,desconocido,2,male,83,3,1,research_scientist,1,single,2960,17102,2,No,11,3,3,0,12,2,3,4,1,3,"2960,0",1989,yes
805,737,32,Yes,travel_frequently,942,research_development,16.0,eso,desconocido,2,female,72,1,1,research_scientist,1,desconocido,4799,4681,1,desconocido,22,3,2,0,9,5,3,10,6,7,,1991,no
806,738,46,No,travel_rarely,705,desconocido,2.0,universidad,marketing,2,female,83,3,5,manager,1,single,18947,22822,3,desconocido,12,3,4,0,22,2,2,2,2,1,"18947,0",1977,no
807,739,44,No,desconocido,1459,desconocido,10.0,universidad,other,4,male,41,3,2,healthcare_representative,4,married,6465,19121,2,desconocido,13,3,4,0,12,5,4,4,1,3,"6465,0",1979,no
808,740,50,Yes,travel_rarely,819,desconocido,3.0,fp,desconocido,1,male,86,2,1,sales_representative,3,married,2683,3810,1,desconocido,14,3,3,0,3,2,3,3,0,2,"2683,0",1973,yes
809,741,35,No,desconocido,890,desconocido,2.0,bachillerato,marketing,4,female,97,3,1,sales_representative,4,married,2014,9687,1,No,13,3,1,0,2,3,3,2,2,2,"2014,0",1988,yes
810,742,28,Yes,desconocido,1434,desconocido,5.0,universidad,desconocido,3,male,50,3,1,laboratory_technician,3,single,3441,11179,1,Yes,13,3,3,0,2,3,2,2,2,2,"3441,0",1995,yes
811,743,26,No,desconocido,1443,desconocido,8.8,bachillerato,desconocido,2,female,47,2,2,sales_executive,4,married,3407,21436,7,Yes,19,3,3,1,5,2,2,2,0,0,,1997,no
812,744,35,No,travel_rarely,1142,desconocido,8.6,universidad,desconocido,3,female,30,3,1,laboratory_technician,1,desconocido,4458,16002,3,Yes,15,3,3,1,4,3,3,2,2,2,,1988,no
813,745,35,No,desconocido,664,desconocido,7.2,bachillerato,medical,2,male,79,3,1,research_scientist,1,married,4786,5868,4,No,13,3,4,1,5,2,2,3,1,2,,1988,yes
814,746,37,No,travel_rarely,397,desconocido,4.0,universidad,medical,1,male,30,3,3,research_director,3,desconocido,13664,25258,4,desconocido,13,3,1,0,14,3,4,5,0,2,"13664,0",1986,yes
815,747,46,No,travel_rarely,973,desconocido,15.6,fp,medical,3,male,80,3,2,human_resources,2,divorced,5021,10425,8,Yes,22,4,4,1,14,2,3,4,0,2,"5021,0",1977,yes
816,748,34,No,travel_rarely,1153,desconocido,1.0,fp,medical,1,male,94,3,2,manufacturing_director,2,married,4265,17736,1,No,15,3,3,0,20,2,3,5,1,3,,1989,yes
817,749,51,No,travel_rarely,432,desconocido,9.0,universidad,desconocido,4,male,96,3,1,laboratory_technician,4,desconocido,8102,18725,3,desconocido,23,4,2,2,10,4,3,4,0,3,,1972,yes
818,750,24,No,travel_rarely,1353,sales,3.0,fp,other,1,female,33,3,2,sales_executive,3,married,3998,17519,0,No,21,4,1,1,4,2,2,3,0,2,,1999,yes
819,751,44,No,desconocido,489,desconocido,23.0,bachillerato,desconocido,2,male,57,3,2,laboratory_technician,2,married,5487,25043,4,desconocido,12,3,3,1,15,3,4,3,1,2,,1979,yes
820,752,37,Yes,travel_rarely,807,desconocido,6.0,universidad,human_resources,3,male,63,3,1,human_resources,1,divorced,5076,23648,4,desconocido,22,4,4,0,17,3,3,3,0,2,,1986,yes
821,753,59,No,non_travel,1420,desconocido,2.0,universidad,human_resources,3,female,32,2,5,manager,4,desconocido,18844,21922,9,No,21,4,4,1,14,3,3,3,2,2,"18844,0",1964,no
822,754,25,No,desconocido,1280,desconocido,7.0,eso,desconocido,4,male,71,2,1,research_scientist,4,married,4753,26897,1,No,11,3,3,2,9,2,3,2,2,1,,1998,yes
823,755,43,No,desconocido,957,desconocido,14.2,bachillerato,medical,2,female,72,4,1,research_scientist,3,single,4739,16090,4,desconocido,12,3,4,0,19,2,3,3,1,2,"4739,0",1980,yes
824,756,50,No,travel_frequently,809,desconocido,12.0,bachillerato,desconocido,3,female,77,3,3,sales_executive,4,single,5564,6645,4,No,11,3,4,0,16,3,2,2,2,1,,1973,no
825,757,31,Yes,travel_rarely,542,desconocido,20.0,bachillerato,desconocido,2,female,71,1,2,sales_executive,3,desconocido,3030,24788,3,Yes,11,3,3,1,4,2,3,2,2,2,,1992,yes
826,758,36,No,desconocido,216,research_development,6.0,fp,medical,2,male,84,3,2,manufacturing_director,2,divorced,4981,2819,6,No,20,4,4,2,7,0,3,3,0,1,,1987,no
827,759,51,Yes,travel_frequently,1150,desconocido,8.0,universidad,desconocido,1,male,53,1,3,manufacturing_director,4,desconocido,10650,25150,2,desconocido,15,3,4,0,18,2,3,4,0,3,"10650,0",1972,no
828,760,25,No,desconocido,906,sales,28.0,bachillerato,life_sciences,1,male,41,2,2,sales_executive,3,desconocido,5025,24835,2,desconocido,18,3,4,0,7,3,3,2,2,2,,1998,no
829,761,38,No,travel_rarely,364,desconocido,3.0,doctorado,technical_degree,4,female,32,3,2,research_scientist,3,desconocido,4317,2302,3,Yes,20,4,2,0,19,2,2,3,2,2,"4317,0",1985,no
830,762,30,No,travel_rarely,201,research_development,5.0,bachillerato,technical_degree,4,female,84,3,1,research_scientist,1,divorced,4981,10415,5,No,14,3,4,1,8,3,3,3,2,2,,1993,yes
831,763,22,No,desconocido,1256,desconocido,6.0,eso,medical,3,male,80,3,1,research_scientist,4,married,6294,11992,1,No,24,4,1,2,2,6,3,2,2,2,,2001,yes
832,764,27,No,non_travel,691,research_development,9.0,bachillerato,medical,4,male,57,3,1,research_scientist,2,desconocido,2024,5970,6,desconocido,18,3,4,1,12,1,1,2,2,2,"2024,0",1996,yes
833,765,28,No,desconocido,440,research_development,21.0,bachillerato,medical,3,male,42,3,1,research_scientist,4,married,4095,6672,1,No,11,3,3,1,5,2,1,5,0,2,,1995,yes
834,766,27,No,desconocido,1157,desconocido,17.0,bachillerato,desconocido,3,male,51,3,1,research_scientist,2,desconocido,3058,13364,0,desconocido,16,3,4,1,6,3,2,5,1,1,"3058,0",1996,yes
835,767,56,No,travel_rarely,713,desconocido,8.0,bachillerato,life_sciences,3,female,67,3,1,research_scientist,1,divorced,9935,13939,4,desconocido,18,3,3,1,12,3,2,2,2,2,,1967,yes
836,768,38,No,travel_rarely,580,desconocido,9.0,fp,desconocido,3,female,75,3,1,laboratory_technician,4,single,4586,6319,1,desconocido,12,3,3,0,11,3,2,2,2,1,,1985,yes
837,769,31,No,travel_rarely,140,desconocido,12.0,eso,medical,3,female,95,3,1,research_scientist,4,desconocido,3929,6984,8,desconocido,23,4,3,1,7,0,3,4,0,2,"3929,0",1992,yes
838,770,34,No,travel_rarely,629,desconocido,27.0,fp,medical,4,female,95,3,1,research_scientist,2,desconocido,4571,5711,2,No,15,3,4,0,9,3,3,3,1,2,,1989,yes
839,771,50,No,desconocido,328,research_development,1.0,bachillerato,desconocido,3,male,86,2,1,laboratory_technician,3,desconocido,3039,3425,2,desconocido,15,3,4,1,11,2,2,3,0,2,,1973,no
840,772,53,No,desconocido,1084,desconocido,13.0,fp,desconocido,4,female,72,4,2,manufacturing_director,1,divorced,7823,26250,1,No,11,3,3,2,5,3,3,4,1,3,,1970,no
841,773,35,No,travel_frequently,724,desconocido,9.4,bachillerato,medical,2,female,37,3,2,laboratory_technician,2,single,4425,15986,5,desconocido,11,3,4,0,14,5,3,6,1,2,"4425,0",1988,yes
842,774,27,No,travel_frequently,472,desconocido,1.0,eso,desconocido,3,male,60,2,2,manufacturing_director,1,married,7469,9679,5,desconocido,19,3,3,1,19,1,3,2,2,0,,1996,no
843,775,40,No,desconocido,905,desconocido,15.6,fp,desconocido,3,male,99,3,2,laboratory_technician,4,married,5063,16523,8,desconocido,15,3,3,1,6,2,4,7,3,7,,1983,yes
844,776,22,No,desconocido,1136,desconocido,9.2,bachillerato,life_sciences,2,male,60,4,1,research_scientist,2,desconocido,2328,12392,1,desconocido,16,3,1,1,4,2,2,4,2,2,"2328,0",2001,no
845,777,40,No,desconocido,1151,desconocido,11.0,doctorado,life_sciences,4,male,63,2,2,healthcare_representative,4,desconocido,5253,14242,9,No,14,3,4,1,5,5,1,3,0,2,,1983,yes
846,778,46,No,desconocido,644,desconocido,1.0,universidad,desconocido,4,male,65,3,3,healthcare_representative,1,desconocido,5693,12368,7,No,16,3,3,1,17,3,3,4,0,3,,1977,yes
847,779,30,Yes,desconocido,1005,desconocido,3.0,bachillerato,technical_degree,4,female,88,3,1,research_scientist,1,desconocido,2657,8556,5,Yes,11,3,3,0,8,5,3,5,0,4,"2657,0",1993,yes
848,780,29,Yes,desconocido,992,desconocido,1.0,bachillerato,desconocido,3,male,85,3,1,research_scientist,3,single,3980,19757,0,desconocido,14,3,4,0,10,1,2,6,1,5,,1994,no
849,781,54,No,desconocido,1147,desconocido,3.0,bachillerato,desconocido,4,female,52,3,2,sales_executive,1,married,5940,17011,2,desconocido,14,3,4,1,16,4,3,6,0,5,"5940,0",1969,no
850,782,33,No,travel_rarely,147,research_development,4.0,universidad,desconocido,3,female,47,2,1,research_scientist,2,married,2622,13248,6,desconocido,21,4,4,0,14,3,3,3,1,1,"2622,0",1990,yes
851,783,52,No,travel_rarely,1323,desconocido,2.0,bachillerato,desconocido,3,female,89,2,1,laboratory_technician,4,single,3212,3300,7,desconocido,15,3,2,0,14,3,2,2,2,2,"3212,0",1971,yes
852,784,59,No,travel_rarely,818,human_resources,6.0,fp,medical,2,male,69,3,1,human_resources,3,married,7813,25657,8,desconocido,17,3,4,0,21,2,2,2,2,2,,1964,no
853,785,32,Yes,desconocido,515,desconocido,1.0,bachillerato,desconocido,4,male,62,2,1,laboratory_technician,3,single,4235,9571,0,desconocido,14,3,4,0,4,2,1,3,1,2,,1991,yes
854,786,39,No,desconocido,1431,desconocido,13.2,universidad,medical,2,female,96,3,1,laboratory_technician,3,divorced,7341,15417,7,No,14,3,3,3,7,1,3,3,1,2,,1984,no
855,787,32,No,non_travel,976,desconocido,26.0,universidad,marketing,3,male,100,3,2,sales_executive,4,desconocido,2630,12069,0,No,18,3,1,0,4,2,3,3,2,2,,1991,yes
856,788,31,No,desconocido,1327,desconocido,3.0,universidad,medical,2,male,73,3,3,research_director,3,divorced,7049,13523,9,No,12,3,1,1,16,3,3,2,2,2,,1992,yes
857,789,33,No,travel_rarely,832,desconocido,5.0,universidad,life_sciences,3,female,63,2,1,research_scientist,4,married,2911,14776,1,desconocido,13,3,3,1,2,2,2,2,0,2,"2911,0",1990,yes
858,790,45,No,desconocido,1199,desconocido,7.0,universidad,life_sciences,1,male,77,4,2,manufacturing_director,3,desconocido,6012,5118,4,desconocido,17,3,4,1,9,1,3,3,0,2,,1978,yes
859,791,42,No,desconocido,916,research_development,17.0,fp,desconocido,4,female,82,4,2,research_scientist,1,single,4691,23016,3,Yes,13,3,3,0,13,1,3,3,0,2,,1981,yes
860,792,29,No,desconocido,1247,desconocido,7.8,fp,marketing,4,male,45,3,2,sales_executive,4,divorced,6931,10732,2,No,14,3,4,1,13,2,3,3,0,2,"6931,0",1994,no
861,793,25,No,travel_rarely,685,desconocido,1.0,bachillerato,desconocido,1,female,62,3,2,manufacturing_director,3,married,6738,7505,0,No,12,3,4,2,5,3,3,4,1,2,,1998,no
862,794,32,No,desconocido,128,desconocido,2.0,eso,desconocido,4,male,84,2,2,laboratory_technician,1,desconocido,2176,19737,4,No,13,3,4,0,9,5,3,6,0,4,"2176,0",1991,no
863,795,28,No,travel_rarely,1158,desconocido,9.0,bachillerato,desconocido,4,male,94,3,1,research_scientist,4,married,8022,2613,1,No,23,4,4,1,15,3,2,5,0,4,,1995,yes
864,796,21,No,travel_rarely,996,desconocido,3.0,fp,desconocido,4,male,100,2,1,research_scientist,3,single,3230,10531,1,No,17,3,1,0,14,4,4,3,1,0,"3230,0",2002,no
865,797,37,No,non_travel,728,desconocido,1.0,universidad,medical,1,female,80,3,3,research_director,4,divorced,6374,11677,2,Yes,18,3,1,2,14,2,3,5,0,2,,1986,no
866,798,38,No,travel_rarely,688,desconocido,23.0,universidad,life_sciences,4,male,82,3,2,healthcare_representative,4,desconocido,4691,18899,9,desconocido,14,3,2,1,12,2,3,2,1,2,,1985,no
867,799,26,Yes,travel_rarely,1449,desconocido,16.0,universidad,medical,1,male,45,3,1,laboratory_technician,2,divorced,8030,14180,2,Yes,13,3,4,1,14,2,3,3,0,2,,1997,no
868,800,49,No,desconocido,636,desconocido,10.0,universidad,life_sciences,3,female,79,3,5,research_director,1,single,18665,25594,9,Yes,11,3,4,0,10,4,3,3,1,2,"18665,0",1974,yes
869,801,31,No,travel_frequently,444,sales,5.0,bachillerato,desconocido,4,female,84,3,1,sales_representative,2,divorced,2789,3909,1,desconocido,11,3,3,1,2,5,2,2,2,2,"2789,0",1992,yes
870,802,37,No,travel_frequently,889,desconocido,9.0,bachillerato,medical,2,male,53,3,1,research_scientist,4,married,4088,11411,1,desconocido,12,3,3,3,13,3,2,4,1,2,,1986,no
873,803,31,No,desconocido,655,research_development,2.0,universidad,desconocido,3,male,32,3,1,research_scientist,4,desconocido,10590,7747,0,desconocido,18,3,2,1,3,2,1,2,2,2,,1992,yes
884,804,21,No,desconocido,895,desconocido,9.0,fp,desconocido,1,male,39,3,1,sales_representative,4,single,5835,2851,1,desconocido,24,4,3,0,3,3,2,3,2,2,,2002,yes
885,805,31,No,travel_rarely,408,desconocido,9.0,universidad,life_sciences,3,male,42,2,1,research_scientist,2,desconocido,2657,7551,0,desconocido,16,3,4,0,3,5,3,2,2,2,"2657,0",1992,yes
887,806,27,No,travel_rarely,1469,desconocido,1.0,fp,desconocido,4,male,82,3,1,laboratory_technician,2,desconocido,5830,17881,1,No,11,3,2,1,5,2,3,5,0,4,,1996,yes
888,807,49,No,travel_rarely,1261,desconocido,7.0,bachillerato,other,2,male,31,2,3,healthcare_representative,3,single,10965,12066,8,No,24,4,3,0,14,2,3,5,0,0,"10965,0",1974,yes
898,808,25,Yes,travel_rarely,688,desconocido,3.0,bachillerato,medical,1,male,91,3,1,laboratory_technician,1,married,3934,9396,5,No,13,3,3,1,6,5,2,2,0,2,,1998,yes
900,809,52,No,travel_rarely,1490,desconocido,4.0,fp,life_sciences,4,female,59,3,4,manager,4,married,7840,10310,2,No,13,3,4,0,31,2,1,5,1,4,,1971,no
901,810,34,Yes,travel_frequently,296,desconocido,6.0,fp,desconocido,4,female,33,1,1,sales_representative,3,desconocido,4712,12253,0,No,16,3,4,1,3,3,2,2,1,0,,1989,yes
902,811,26,No,travel_rarely,1349,desconocido,23.0,bachillerato,life_sciences,1,female,90,3,1,research_scientist,4,divorced,6306,3032,1,No,22,4,2,2,15,3,1,3,0,2,,1997,yes
903,812,29,No,desconocido,986,desconocido,3.0,universidad,desconocido,2,male,93,2,3,research_director,3,desconocido,11935,21526,1,No,18,3,3,0,17,2,3,10,0,7,"11935,0",1994,yes
904,813,29,Yes,desconocido,408,desconocido,25.0,doctorado,technical_degree,3,female,71,2,1,research_scientist,2,married,2546,18300,5,No,16,3,2,0,6,2,4,2,1,1,"2546,0",1994,no
905,814,46,No,desconocido,1009,desconocido,2.0,bachillerato,life_sciences,1,male,51,3,4,research_director,3,married,17861,2288,6,No,13,3,3,0,13,2,1,3,0,1,"17861,0",1977,no
906,815,46,No,desconocido,1125,desconocido,10.0,bachillerato,marketing,3,female,94,2,3,sales_executive,4,desconocido,8483,11563,2,desconocido,19,3,3,1,15,3,3,3,1,2,,1977,no
907,816,30,No,travel_rarely,413,sales,7.0,eso,marketing,4,male,57,3,1,sales_representative,2,single,4032,18398,0,desconocido,14,3,1,0,11,3,3,3,1,2,,1993,yes
908,817,34,Yes,travel_frequently,988,human_resources,23.0,bachillerato,desconocido,2,female,43,3,3,human_resources,1,divorced,3870,11533,9,Yes,15,3,3,3,11,2,3,3,0,2,,1989,no
909,818,42,No,desconocido,1474,desconocido,5.0,fp,other,2,male,97,3,1,laboratory_technician,3,married,5314,9260,4,No,17,3,4,1,16,4,2,2,2,0,,1981,yes
910,819,22,Yes,desconocido,1368,research_development,7.2,eso,technical_degree,3,male,99,2,1,laboratory_technician,3,single,3894,9129,5,No,16,3,3,0,4,3,3,2,1,2,"3894,0",2001,yes
911,820,29,No,travel_rarely,232,desconocido,19.0,bachillerato,technical_degree,4,male,34,3,2,manufacturing_director,4,divorced,4262,22645,4,No,12,3,2,2,8,2,4,3,1,2,"4262,0",1994,yes
912,821,46,No,travel_frequently,1034,research_development,18.0,eso,medical,1,female,86,3,3,healthcare_representative,3,married,10527,8984,5,No,11,3,4,0,17,3,2,2,1,2,"10527,0",1977,yes
913,822,32,Yes,desconocido,1474,sales,11.0,universidad,other,4,male,73,4,2,sales_executive,3,desconocido,5056,23914,8,desconocido,12,3,4,0,8,2,3,4,1,2,,1991,yes
914,823,24,No,desconocido,827,desconocido,24.0,bachillerato,medical,4,male,38,3,1,sales_representative,4,desconocido,2400,5530,0,No,13,3,3,2,3,3,3,2,2,1,"2400,0",1999,no
915,824,35,No,travel_rarely,538,desconocido,25.0,fp,desconocido,1,male,54,2,2,laboratory_technician,4,single,3681,14004,4,No,14,3,4,0,13,3,3,3,0,2,"3681,0",1988,no
916,825,42,No,desconocido,622,desconocido,2.0,universidad,life_sciences,3,female,81,3,2,healthcare_representative,4,married,6174,5718,1,No,13,3,2,2,10,4,3,10,2,2,,1981,yes
917,826,48,No,travel_rarely,1236,desconocido,1.0,universidad,desconocido,4,female,40,2,4,manager,1,married,7369,17997,7,No,11,3,1,1,21,3,1,3,0,2,,1975,yes
918,827,44,No,travel_rarely,1112,desconocido,1.0,universidad,desconocido,1,female,50,2,2,human_resources,3,desconocido,4733,26894,4,No,11,3,2,0,10,1,4,2,0,2,,1979,yes
919,828,34,No,desconocido,204,sales,14.0,bachillerato,desconocido,3,female,31,3,1,sales_representative,3,desconocido,3739,2912,1,Yes,18,3,4,2,8,3,3,8,0,6,,1989,yes
920,829,21,No,desconocido,1343,desconocido,22.0,eso,technical_degree,3,male,49,3,1,sales_representative,3,desconocido,3447,24444,1,desconocido,11,3,3,0,17,2,3,3,1,2,"3447,0",2002,yes
921,830,44,No,travel_rarely,1315,desconocido,3.0,universidad,desconocido,4,male,35,3,5,manager,4,desconocido,19513,9358,4,desconocido,12,3,1,1,26,2,4,2,0,1,"19513,0",1979,yes
922,831,22,No,travel_rarely,878,desconocido,6.0,eso,medical,1,male,69,3,1,research_scientist,3,married,4190,12145,0,desconocido,20,4,4,0,6,3,3,2,2,2,,2001,yes
923,832,26,No,travel_rarely,991,desconocido,6.0,bachillerato,desconocido,3,female,71,3,1,laboratory_technician,4,desconocido,2659,17759,1,Yes,13,3,3,1,14,2,3,3,0,2,"2659,0",1997,no
924,833,36,No,desconocido,913,desconocido,9.0,fp,medical,2,male,48,2,2,manufacturing_director,2,desconocido,8847,13934,2,Yes,11,3,3,1,13,2,3,3,0,2,"8847,0",1987,yes
925,834,27,No,desconocido,1115,desconocido,3.0,universidad,medical,1,male,54,2,1,research_scientist,4,single,2045,15174,0,desconocido,13,3,4,0,5,0,3,4,1,1,"2045,0",1996,yes
926,835,23,No,travel_rarely,885,desconocido,4.0,bachillerato,desconocido,1,male,58,4,1,research_scientist,1,desconocido,3902,8544,2,desconocido,16,3,1,1,5,3,4,3,0,2,,2000,no
927,836,25,No,desconocido,810,desconocido,8.0,bachillerato,life_sciences,4,male,57,4,2,sales_executive,2,desconocido,4851,15678,0,No,22,4,3,1,4,4,3,3,1,2,"4851,0",1998,no
928,837,48,No,desconocido,817,desconocido,9.2,eso,desconocido,1,male,56,4,2,sales_executive,2,married,8120,18597,3,desconocido,12,3,4,0,12,3,3,2,2,2,"8120,0",1975,yes
929,838,24,Yes,travel_rarely,693,desconocido,3.0,fp,life_sciences,1,female,65,3,2,sales_executive,3,single,4577,24785,9,No,14,3,1,0,13,3,3,2,2,0,"4577,0",1999,yes
930,839,60,No,travel_rarely,1179,desconocido,16.0,universidad,desconocido,1,male,84,3,2,sales_executive,1,single,5405,11924,8,No,14,3,4,0,10,1,3,2,2,2,"5405,0",1963,no
931,840,50,No,desconocido,316,desconocido,8.0,universidad,marketing,4,male,54,3,1,sales_representative,2,married,3722,9983,7,No,15,3,4,1,4,2,3,2,2,2,,1973,yes
932,841,44,No,non_travel,381,desconocido,24.0,bachillerato,desconocido,1,male,49,1,1,laboratory_technician,3,single,3708,2104,2,desconocido,14,3,3,0,9,5,3,5,1,4,"3708,0",1979,no
933,842,47,No,travel_frequently,217,desconocido,3.0,bachillerato,desconocido,4,female,49,3,4,sales_executive,3,divorced,13770,10225,9,Yes,12,3,4,2,28,2,2,22,11,13,"13770,0",1976,yes
934,843,42,Yes,desconocido,933,desconocido,19.0,bachillerato,desconocido,3,male,57,4,1,research_scientist,3,divorced,3732,20366,6,desconocido,12,3,4,0,15,2,3,2,2,2,,1981,yes
935,844,43,No,travel_frequently,775,desconocido,15.0,bachillerato,life_sciences,4,male,47,2,2,sales_executive,4,married,3973,23683,3,desconocido,18,3,3,1,7,5,3,2,2,2,,1980,yes
936,845,40,No,desconocido,804,desconocido,2.0,eso,desconocido,4,female,86,2,1,research_scientist,4,single,3039,22929,0,desconocido,20,4,4,0,5,2,2,4,2,3,,1983,no
937,846,29,No,desconocido,1090,sales,10.0,bachillerato,desconocido,4,male,83,3,1,sales_representative,2,desconocido,2297,17967,1,No,14,3,4,2,12,2,3,2,2,2,"2297,0",1994,no
938,847,53,No,desconocido,346,desconocido,6.0,bachillerato,desconocido,4,male,86,3,2,laboratory_technician,4,single,2450,10919,2,desconocido,17,3,4,0,19,4,3,2,2,2,"2450,0",1970,no
939,848,23,No,travel_rarely,310,research_development,13.8,eso,medical,1,male,79,4,1,research_scientist,3,single,4243,19630,1,desconocido,18,3,4,0,13,3,3,2,0,2,,2000,no
940,849,55,Yes,desconocido,725,desconocido,2.0,bachillerato,medical,4,male,78,3,5,manager,1,desconocido,9063,21199,5,Yes,13,3,4,1,24,2,3,5,1,4,,1968,no
